Número do Contrato,Objeto,Fundamento Legal,Modalidade Compra,Situação Contrato,Código Órgão Superior,Nome Órgão Superior,Código Órgão,Nome Órgão,Código UG,Nome UG,Data Assinatura Contrato,Data Publicação DOU,Data Início Vigência,Data Fim Vigência,CNPJ Contratado,Nome Contratado,Valor Inicial Compra,Valor Final Compra
142020,Objeto: Aquisição de viatura moto trail operacional.,Fundamento Legal: Paragrafo único do art 61 da lei 8666/93.,Pregão - Registro de Preço,Publicado,52000,Ministério da Defesa,52121,Comando do Exército,160069,COMANDO LOGISTICO,01/07/2020,03/08/2020,01/07/2020,27/05/2021,04719284000121,FREEDOM MOTORS LTDA,93956.0000,93956.0000
92020,Objeto: Contratação de serviços de empresa fornecedora de refeições prontas às CASAI Parintins-- Maués e Nhamundá-- pertencentes ao DSEI Parintins.,Fundamento Legal: Inciso IV-- art. 24 da Lei n. 8.666/93.,Dispensa de Licitação,Publicado,36000,Ministério da Saúde,36000,Ministério da Saúde - Unidades com vínculo di,257030,DISTRITO SANIT.ESP.INDIGENA - PARINTINS,28/07/2020,05/08/2020,28/07/2020,28/01/2021,33972413000197,SILVANA RAIMUNDA PERRONE FALCAO,646560.0000,646560.0000
402020,Objeto: Contratação de plataforma conjuntamente a prestação de serviço em consultas médicas especializadas por meio da telemedicina para assistência à saúde dos presos custodiados no Sistema Penitenciário Federal dado o cenário de pandemia de covid-19-- conforme condições-- quantidades e exigências estabelecidas no Projeto Básico.,Fundamento Legal: Lei 8.666/93 e alterações posteriores e Lei 13.979/2020.,Dispensa de Licitação,Publicado,30000,Ministério da Justiça e Segurança Pública,30907,Fundo Penitenciário Nacional,200323,DEPEN/DIRETORIA DO SISTEMA PENITENC. FEDERAL,04/08/2020,06/08/2020,04/08/2020,04/02/2021,26193419000109,L2D TELEMEDICINA LTDA,286568.7500,286568.7500
1082020,Objeto: Aquisição de medicamentos.,Fundamento Legal: Lei 8666/93.,Dispensa de Licitação,Publicado,36000,Ministério da Saúde,36000,Ministério da Saúde - Unidades com vínculo di,257035,DISTRITO SANIT.ESP.INDIGENA - MG/ES,06/08/2020,10/08/2020,10/08/2020,10/02/2021,41765249000175,FARMACIA RAFA LTDA,7205.9000,7205.9000
582020,Objeto: Revitalização de fachadas do CEFD - PrédiO 51 -UFSM,Fundamento Legal: Lei 8666,Tomada de Preços,Publicado,26000,Ministério da Educação,26247,Universidade Federal de Santa Maria,153164,UNIVERSIDADE FEDERAL DE SANTA MARIA,24/07/2020,04/08/2020,10/08/2020,07/12/2020,18914483000103,MTX CONSTRUCOES LTDA,110223.5300,110223.5300
12020,Objeto: Prestação de serviço móvel pessoal SMP com internet modalidade local e longa distancia com fornecimento de aparelho celulares em regime de comodato.,Fundamento Legal: lei 8.666/93,Pregão - Registro de Preço,Publicado,52000,Ministério da Defesa,52121,Comando do Exército,160395,COMANDO DO COMANDO MILITAR DO SUL,01/04/2020,03/08/2020,01/04/2020,31/03/2021,02558157000162,TELEFONICA BRASIL S.A.,42321.6000,42321.6000
172020,Objeto: Serviço de manutenção das coberturas dos hangares e edificações do Grupo Logístico da Ala 8 - GLOG 8.,Fundamento Legal: Lei nº 8.666-- de 21/06/1993-- da Lei de Diretrizes Orçamentárias vigente e do Decreto nº 7.983-- de 08/04/2013.,Tomada de Preços,Publicado,52000,Ministério da Defesa,52111,Comando da Aeronáutica,120630,GRUPAMENTO DE APOIO DE MANAUS,23/06/2020,04/08/2020,23/06/2020,13/02/2022,21001742000101,EVEREST ARQUITETURA E ENGENHARIA LTDA,2470551.5600,2470551.5600
1772020,Objeto: Prestação de serviço de assistência médico hospitalar aos usuários do FuSEx/SAMMED/PASS,Fundamento Legal: Art 25 da Lei 8.666/93,Inexigibilidade de Licitação,Publicado,52000,Ministério da Defesa,52121,Comando do Exército,160130,36º BATALHãO DE INFANTARIA MECANIZADO,01/07/2020,06/08/2020,01/07/2020,30/06/2021,18847662000167,UMC IMAGEM LTDA,200000.0000,200000.0000
432020,Objeto: Aquisição de equipamentos para Uti's e Clínicas.,Fundamento Legal: Lei 13979,Dispensa de Licitação,Publicado,26000,Ministério da Educação,26443,Empresa Brasileira de Serviços Hospitalares,155904,HOSPITAL DAS CLINICAS DA UNIV. FED. DE GOIAS,06/08/2020,10/08/2020,06/08/2020,06/02/2021,22408118000196,BIOPULSE BRASIL EIRELI,179500.0000,179500.0000
422020,Objeto: Aquisição de postes de concreto.,Fundamento Legal: Caput do art. 4º da Lei 8.666/93.,Dispensa de Licitação,Publicado,52000,Ministério da Defesa,52121,Comando do Exército,160353,6 BATALHAO DE ENGENHARIA DE CONSTRUCAO,03/08/2020,10/08/2020,03/08/2020,30/01/2021,84012418000109,CASA DO ELETRICISTA COMERCIO E CONSTRUCAO LTDA,97300.0000,97300.0000
5342020,Objeto: Execução de serviços de implantação da iluminação publica da travessia urbana de Nova Xavantina na Rodovia BR-158/MT-- trecho: Divisa PA/MT - Divisa MT/GO-- subtrecho: Entr. BR-251(A) - Fim da Ponte Sobre o Rio Pindaíba-- segmento: km 649.3 - km 654.62-- extensão: 5.32 km-- Código SNV: 158BMT0265 - 158BMT0270.,Fundamento Legal: Lei 10.520/02-- Decreto 3.555/00-- Decreto 10.024/19-- LC 123/06-- Decreto 8.538/15-- Lei 8.666/1993-- IN 5/2017 e IN 3/2018.,Pregão,Publicado,39000,Ministério da Infraestrutura,39252,Departamento Nacional de Infraestrutura de Tr,393020,SUPERINTENDENCIA REG. NO ESTADO MT - DNIT,05/08/2020,06/08/2020,07/08/2020,07/12/2021,10398945000167,LIDERCAN CONSTRUCOES E INSTALACOES ELETRICA LTDA,1799000.0000,1799000.0000
542020,Objeto: Aquisição de Medicamentos para tratamento da COVID - 19.,Fundamento Legal: Regulamento de Licitações e Contratos da EBSERH-- Lei 13.303/2016 e Lei 13.979/2020,Dispensa de Licitação,Publicado,26000,Ministério da Educação,26443,Empresa Brasileira de Serviços Hospitalares,155010,EBSERH HU-UFMA,28/05/2020,05/08/2020,28/05/2020,23/11/2020,11229270000195,MEDFARMA COMERCIO DE MEDICAMENTOS-- MATERIAIS E EQUIPAMENTOS HOSPITALARES EIRELI,24768.0000,24768.0000
42020,Objeto: Prestação de serviço de dosimetria de radiação hospitalar médica e odontológica.,Fundamento Legal: Art. 61-- parágrafo único-- da lei 8666/93.,Dispensa de Licitação,Publicado,52000,Ministério da Defesa,52121,Comando do Exército,160239,HOSPITAL MILITAR DE RESENDE,03/07/2020,04/08/2020,01/08/2020,31/07/2021,50429810000136,SAPRA LANDAUER SERVICO DE ASSESSORIA E PROTECAO RADIOLOGICA LTDA.,3805.2000,3805.2000
817722020,Objeto: Credenciamento Médico,Fundamento Legal: Art.30-- Caput-- Lei 13.303/16,Inexigibilidade de Licitação,Publicado,25000,Ministério da Economia,25207,Serviço Federal de Processamento de Dados,803010,SERPRO - REGIONAL BRASILIA,29/07/2020,05/08/2020,29/07/2020,28/07/2025,04997410000100,IRMAOS PICCOLO LTDA,600000.0000,600000.0000
